订单编号 ,Date,产品名称,类别 ,数量,单价(元),销售额,销售员,地区
SO20260001,2026/8/2,笔记本电脑,电脑整机,  10 ,5999元,59990,刘强,华东
SO20260002,8月3日,U盘128G,存储,20个,79.00,948,王芳,西南
SO20260003,2026-13-45,U盘128G,存储,2,79,158,陈静,华东
SO20260004,2026/8/5,27寸显示器,外设,2,"1,299",3897,赵磊,华中
SO20260005,8月6日,,存储,12,559元,559,陈静,华中
SO20260006,2026-07-07,笔记本电脑,电脑整机,  2 ,5999.00,71988,赵磊,华东
SO20260007,2026/8/8,机械键盘,外设,3个,359,4308,王芳,西南
SO20260008,8月9日,无线鼠标,外设,2,89,-3599,李娜,华北
SO20260009,2026-07-10,27寸显示器,外设,10,1299元,3897,张伟,华北
SO20260010,2026/8/11,无线鼠标,外设,12,89.00,89,赵磊,
SO20260011,8月12日,笔记本电脑,电脑整机,  10 ,5999,11998,王芳,华中
SO20260012,2026-07-13,27寸显示器,外设,12个,"1,299",15588,王芳,华北
SO20260013,2026/8/14,蓝牙耳机,影音,20,499元,9980,王芳,华中
,,,,,,,,
SO20260014,8月15日,蓝牙耳机,影音,5,499.00,1497,李娜,华东
SO20260015,2026-07-16,笔记本电脑,电脑整机,3,5999,29995,刘强,华南
SO20260016,2026/8/17,无线鼠标,外设,  5 ,89,178,,华中
SO20260017,8月18日,高清摄像头,影音,12个,299元,897,赵磊,华北
SO20260018,2026-07-19,机械键盘,外设,5,359.00,7180,李娜,西南
SO20260019,2026/8/20,笔记本电脑,电脑整机,9999,5999,29995,刘强,华南
SO20260020,8月21日,高清摄像头,影音,5,299,897,陈静,华中
SO20260021,2026-07-22,27寸显示器,外设,  20 ,1299元,10392,陈静,华东
SO20260022,2026/8/23,无线鼠标,外设,20个,89.00,89,刘强,华东
SO20260023,8月24日,蓝牙耳机,影音,5,499,,赵磊,西南
SO20260024,2026-07-25,U盘128G,存储,12,79,395,张伟,华北
SO20260025,2026/8/26,高清摄像头,影音,3,299元,3588,陈静,华南
SO20260026,8月27日,蓝牙耳机,影音,  20 ,499.00,1497,陈静,华北
SO20260027,2026-07-28,U盘128G,存储,3个,79,948,张伟,华东
SO20260028,2026/8/1,高清摄像头,影音,1,299,-129,张伟,华南
SO20260029,8月2日,蓝牙耳机,影音,12,499元,998,赵磊,西南
SO20260030,2026-07-03,移动硬盘2T,存储,2,559.00,6708,赵磊,华北
SO20260031,2026/8/4,笔记本电脑,电脑整机,  20 ,5999,11998,王芳,华中
SO20260032,8月5日,移动硬盘2T,存储,3个,559,,李娜,华中
SO20260033,2026-07-06,27寸显示器,外设,12,1299元,1299,张伟,西南
SO20260034,2026/8/7,移动硬盘2T,存储,12,559.00,11180,陈静,华东
SO20260035,8月8日,笔记本电脑,电脑整机,3,5999,11998,刘强,华中
SO20260036,2026-07-09,无线鼠标,外设,  1 ,0,712,刘强,华中
SO20260037,2026/8/10,机械键盘,外设,20个,359元,4308,陈静,华北
SO20260038,,高清摄像头,影音,12,299.00,3588,张伟,华北
SO20260039,2026-07-12,机械键盘,外设,3,359,718,张伟,华南
SO20260040,2026/8/13,27寸显示器,外设,10,"1,299",12990,刘强,华南
SO20260041,8月14日,高清摄像头,,  5 ,299元,2392,张伟,华东
SO20260042,2026-07-15,高清摄像头,影音,20个,299.00,2990,张伟,西南
SO20260043,2026/8/16,蓝牙耳机,影音,8,499,998,赵磊,华北
SO20260044,8月17日,U盘128G,存储,3,79,632,陈静,华中
,,,,,,,,
SO20260045,2026-07-18,27寸显示器,外设,8,1299元,3897,刘强,华北
SO20260046,2026/8/19,笔记本电脑,电脑整机,  5 ,5999.00,17997,李娜,华北
SO20260047,8月20日,高清摄像头,影音,20个,299,3588,李娜,华中
SO20260048,2026-07-21,U盘128G,存储,10,79,79,李娜,华南
SO20260049,2026/8/22,蓝牙耳机,影音,12,499元,499,陈静,华中
SO20260050,8月23日,机械键盘,外设,8,359.00,359,陈静,华东
SO20260051,2026-07-24,U盘128G,存储,0,79,395,刘强,华北
SO20260052,2026/8/25,移动硬盘2T,存储,10个,559,1677,刘强,华北
SO20260053,8月26日,蓝牙耳机,影音,20,499元,5988,张伟,华南
SO20260054,2026-07-27,27寸显示器,外设,10,1299.00,2598,张伟,西南
SO20260055,2026/8/28,移动硬盘2T,存储,2,559,1677,陈静,华南
SO20260056,8月1日,机械键盘,外设,  12 ,359,4308,李娜,华东
SO20260057,2026-07-02,笔记本电脑,电脑整机,12个,5999元,29995,刘强,华中
SO20260058,2026/8/3,U盘128G,存储,2,79.00,948,张伟,华中
SO20260059,8月4日,无线鼠标,外设,8,89,445,刘强,华中
SO20260060,2026-07-05,笔记本电脑,电脑整机,8,"5,999",17997,张伟,华东
SO20260061,2026/8/6,U盘128G,存储,  8 ,79元,395,张伟,华中
SO20260062,8月7日,移动硬盘2T,存储,2个,559.00,4472,王芳,华北
SO20260063,2026-07-08,无线鼠标,外设,20,89,178,王芳,华北
SO20260064,2026/8/9,笔记本电脑,电脑整机,12,"5,999",11998,赵磊,西南
SO20260065,8月10日,无线鼠标,外设,8,89元,267,张伟,华中
SO20260004,2026/8/5,27寸显示器,外设,2,"1,299",3897,赵磊,华中
SO20260004,2026/8/5,27寸显示器,外设,2,"1,299",3897,赵磊,华中
SO20260012,2026-07-13,27寸显示器,外设,12个,"1,299",15588,王芳,华北
SO20260020,2026-07-22,27寸显示器,外设,  20 ,1299元,10392,陈静,华南
